fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
5037,15.09918342,13.22022613,11.92757538,12.58473618,10.75270101,13.33693467,11.61193467,12.77581658,10.88542714,9.779271357,11.69918342,10.94007538,9.1375,9.011871859,9.608040201,9.190389447,8.235301508,9.186683417,9.144409548
5045,12.97207525,11.4047619,9.830452675,11.05555556,9.197472075,11.8324515,10.46237507,10.98930041,9.311934156,8.642680776,10.14121105,9.795884774,7.853439153,8.256790123,7.790064668,7.380658436,6.511816578,7.159553204,8.011111111
5047,10.58529968,9.34681388,8.735141956,9.729400631,8.512744479,10.6873817,9.238359621,9.893501577,8.179621451,7.897665615,9.34044164,9.317728707,6.8029653,7.66977918,6.768391167,6.563154574,5.956025237,6.62214511,6.555457413
5051,11.72322198,10.24617457,8.747952586,9.831034483,8.440355603,10.55511853,8.911799569,9.757704741,8.189601293,7.541217672,8.887338362,8.917349138,7.437984914,7.057974138,6.820420259,6.721551724,5.814978448,6.322306034,6.934698276
5053,13.12185348,11.44921728,9.738509706,10.32035066,8.947401378,11.19254853,9.577332498,10.55510332,9.154790232,8.094552286,9.470945523,9.268002505,8.020350657,7.730244208,7.912648716,7.219536631,6.354915466,6.946399499,8.014151534
5063,13.11063723,10.92403412,10.1631711,11.12553939,8.913647767,10.84009032,9.881836427,10.99533367,9.147265429,8.017661816,9.777621676,9.260311089,7.170296036,7.779377822,7.473758154,7.492824887,6.516056197,7.20697441,7.715805319
5083,10.92930578,9.610333863,8.847959724,9.878484367,8.417753047,10.69984102,9.076576577,9.756067833,8.162745098,7.801589825,9.263169051,9.328404875,6.937095919,7.641865395,6.701960784,6.579968203,5.9936407,6.459565448,6.707048225
5085,14.17433025,12.28207501,10.57428154,11.84695567,10.0037019,12.63273259,11.26960546,11.54198734,10.36541646,9.236970287,11.00720896,10.27179737,8.588650755,8.654213346,8.746663419,8.250462737,7.435265465,8.225669752,8.576765709
5087,8.600783049,7.958959005,7.76043298,8.25614924,7.227176416,9.298802395,8.073330263,8.025702441,7.379640719,6.650437586,7.861999079,7.962874251,5.855642561,6.247351451,5.765730078,5.335605712,4.792169507,5.863473054,5.648825426
5115,11.34923434,9.832436195,8.903712297,9.91387471,8.191647332,10.50932715,9.181809745,9.582598608,8.223712297,7.601856148,8.891786543,9.139907193,6.884408353,7.256612529,6.579675174,6.451647332,5.727192575,6.3812529,6.776055684
